Date,Open Price,Close Price,High Price,Low Price,Volume
09-Jan-2013,29.67,30.59,30.60,29.49,104787656
10-Jan-2013,30.60,31.30,31.45,30.28,95316368
11-Jan-2013,31.28,31.72,31.96,31.10,89597984
14-Jan-2013,32.08,30.95,32.21,30.62,98886856
15-Jan-2013,30.64,30.10,31.71,29.88,173242352
16-Jan-2013,30.21,29.85,30.35,29.53,75332648
17-Jan-2013,30.08,30.14,30.42,30.03,40256608
18-Jan-2013,30.31,29.66,30.44,29.27,49631496
22-Jan-2013,29.75,30.73,30.89,29.74,55243212
23-Jan-2013,31.10,30.82,31.50,30.80,48899740
24-Jan-2013,31.27,31.08,31.49,30.81,43845048
25-Jan-2013,31.41,31.54,31.93,31.13,54363552
28-Jan-2013,31.88,32.47,32.51,31.81,59681408
29-Jan-2013,32.00,30.79,32.07,30.71,72976496
30-Jan-2013,30.98,31.24,31.49,30.88,87682080
31-Jan-2013,29.15,30.98,31.47,28.74,190743616
01-Feb-2013,31.01,29.73,31.02,29.63,85856664
04-Feb-2013,29.06,28.11,29.20,28.01,92362184
05-Feb-2013,28.26,28.64,28.96,28.04,47948192
06-Feb-2013,28.74,29.05,29.29,28.66,38375744
07-Feb-2013,29.11,28.65,29.15,28.27,34540016
08-Feb-2013,28.89,28.55,29.17,28.51,37708728
11-Feb-2013,28.61,28.26,28.68,28.04,37361744
12-Feb-2013,27.67,27.37,28.16,27.10,93495632
13-Feb-2013,27.36,27.91,28.32,27.31,50163960
14-Feb-2013,28.02,28.50,28.63,28.01,35618412
15-Feb-2013,28.52,28.32,28.75,28.09,33096104
19-Feb-2013,28.23,28.93,29.08,28.12,49403248
20-Feb-2013,28.92,28.46,29.05,28.33,42095616
21-Feb-2013,28.28,27.28,28.55,27.15,49645936
22-Feb-2013,27.62,27.13,27.63,26.82,36338416
25-Feb-2013,27.16,27.27,27.64,27.15,34602904
26-Feb-2013,27.36,27.39,27.46,26.70,31610232
27-Feb-2013,27.34,26.87,27.34,26.63,44312896
28-Feb-2013,26.84,27.25,27.30,26.34,83019576
01-Mar-2013,27.05,27.78,28.12,26.81,54057632
04-Mar-2013,27.76,27.72,28.06,27.44,32391462
05-Mar-2013,27.88,27.52,28.18,27.21,40613712
06-Mar-2013,28.10,27.45,28.13,27.35,33524226
07-Mar-2013,27.57,28.58,28.67,27.47,74528440
08-Mar-2013,28.42,27.96,28.47,27.73,44196240
11-Mar-2013,28.01,28.14,28.64,27.83,35636220
12-Mar-2013,28.10,27.83,28.32,27.60,27555060
13-Mar-2013,27.62,27.08,27.65,26.92,39613132
14-Mar-2013,27.10,27.04,27.43,26.83,27640168
15-Mar-2013,27.03,26.65,27.06,26.56,31589924
18-Mar-2013,26.37,26.49,26.79,25.78,26650232
19-Mar-2013,26.53,26.55,26.90,26.21,25252602
20-Mar-2013,26.68,25.86,26.69,25.78,43991416
21-Mar-2013,25.66,25.74,26.11,25.56,24328822
22-Mar-2013,25.80,25.73,26.01,25.63,18454918
25-Mar-2013,25.75,25.13,25.80,25.08,39189776
26-Mar-2013,25.08,25.20,25.48,25.03,26952928
27-Mar-2013,25.00,26.09,26.28,24.72,52285576
28-Mar-2013,26.09,25.58,26.17,25.52,28579940
01-Apr-2013,25.63,25.53,25.89,25.28,22248236
02-Apr-2013,25.77,25.42,26.12,25.30,35144104
03-Apr-2013,25.83,26.25,26.39,25.70,48173108
04-Apr-2013,26.62,27.07,27.23,26.11,82000816
05-Apr-2013,26.86,27.39,27.80,26.61,64560720
08-Apr-2013,27.19,26.85,27.20,26.63,27252328
09-Apr-2013,26.58,26.59,26.89,26.42,21300086
10-Apr-2013,27.01,27.57,27.84,26.90,45935356
11-Apr-2013,27.48,28.02,28.10,27.25,33366696
12-Apr-2013,28.00,27.40,28.00,27.24,28691616
15-Apr-2013,27.16,26.52,27.48,26.36,30265466
16-Apr-2013,26.81,26.92,27.11,26.40,27393118
17-Apr-2013,26.65,26.62,27.20,26.39,26432636
18-Apr-2013,26.82,25.69,26.82,25.15,39055484
19-Apr-2013,25.62,25.73,25.96,25.33,20377512
22-Apr-2013,25.81,25.97,26.36,25.70,25682848
23-Apr-2013,26.22,25.98,26.33,25.77,25189528
24-Apr-2013,25.93,26.11,26.40,25.80,19727082
25-Apr-2013,26.07,26.14,26.40,26.00,17148176
26-Apr-2013,26.60,26.85,27.62,26.60,33009464
29-Apr-2013,27.16,26.98,27.41,26.86,29161504
30-Apr-2013,27.13,27.77,27.85,27.00,36239932
01-May-2013,27.85,27.43,27.92,27.31,64474320
02-May-2013,28.01,28.97,29.02,27.98,104248424
03-May-2013,29.04,28.31,29.07,28.15,58477672
06-May-2013,28.33,27.57,28.46,27.48,43913632
07-May-2013,27.55,26.89,27.85,26.85,41256060
08-May-2013,26.88,27.12,27.30,26.65,34650832
09-May-2013,27.08,27.04,27.55,26.85,33447950
10-May-2013,27.14,26.68,27.30,26.57,30842634
13-May-2013,26.60,26.82,27.33,26.53,29057196
14-May-2013,26.89,27.07,27.28,26.82,24923650
15-May-2013,26.92,26.60,26.99,26.40,30298560
16-May-2013,26.48,26.13,26.55,25.90,35503652
17-May-2013,26.40,26.25,26.60,26.20,29459956
20-May-2013,26.18,25.76,26.19,25.69,42396632
21-May-2013,25.87,25.66,26.08,25.59,26253232
22-May-2013,25.65,25.16,25.85,24.92,45308524
23-May-2013,24.80,25.06,25.53,24.77,37694488
24-May-2013,24.97,24.31,24.97,24.08,58709688
28-May-2013,24.54,24.10,24.54,23.92,50078080
29-May-2013,23.79,23.32,23.81,23.26,64234776
30-May-2013,24.13,24.55,24.78,23.93,60725092
31-May-2013,24.63,24.35,24.95,24.27,35921588
03-Jun-2013,24.26,23.85,24.32,23.71,35727752
04-Jun-2013,23.89,23.52,23.93,23.32,34796584
05-Jun-2013,23.35,22.90,23.70,22.79,53815924
06-Jun-2013,22.99,22.97,23.09,22.67,31256550
07-Jun-2013,23.03,23.29,23.40,22.86,38694368
10-Jun-2013,24.06,24.33,24.60,23.99,58377444
11-Jun-2013,24.03,24.03,24.35,24.00,29877948
12-Jun-2013,24.16,23.77,24.26,23.58,26436392
13-Jun-2013,23.72,23.73,23.83,23.26,31185228
14-Jun-2013,23.56,23.63,23.89,23.26,30668642
17-Jun-2013,23.91,24.02,24.25,23.75,33648664
18-Jun-2013,24.09,24.21,24.69,24.08,36706756
19-Jun-2013,24.20,24.31,25.19,24.10,31784404
20-Jun-2013,24.28,23.90,24.75,23.65,42765584
21-Jun-2013,24.59,24.53,24.70,24.05,45832848
24-Jun-2013,23.95,23.93,24.11,23.38,40608008
25-Jun-2013,24.14,24.25,24.43,24.04,24719448
26-Jun-2013,24.51,24.16,24.65,23.99,29887156
27-Jun-2013,24.24,24.66,24.84,24.21,34681412
28-Jun-2013,24.68,24.88,24.98,24.42,96772880
01-Jul-2013,24.97,24.81,25.06,24.62,20580496
02-Jul-2013,24.70,24.41,24.77,24.30,18394008
03-Jul-2013,24.22,24.52,24.71,24.15,10404332
05-Jul-2013,24.65,24.37,24.66,24.20,20221896
08-Jul-2013,24.47,24.71,25.04,24.42,27071584
09-Jul-2013,25.07,25.48,25.49,25.03,30383688
10-Jul-2013,25.58,25.80,25.83,25.47,26719268
11-Jul-2013,25.96,25.81,26.00,25.45,26773434
12-Jul-2013,25.74,25.91,25.93,25.55,16537540
15-Jul-2013,25.93,26.28,26.43,25.65,24232086
16-Jul-2013,26.39,26.32,26.75,26.01,30815154
17-Jul-2013,26.37,26.65,26.78,26.30,21516364
18-Jul-2013,26.75,26.18,26.77,26.12,24783804
19-Jul-2013,25.82,25.88,26.11,25.60,46543560
22-Jul-2013,25.99,26.05,26.13,25.72,27523612
23-Jul-2013,26.10,26.13,26.30,25.97,28219168
24-Jul-2013,26.32,26.51,26.53,26.05,82399728
25-Jul-2013,33.54,34.36,34.88,32.75,365845440
26-Jul-2013,33.77,34.01,34.73,33.56,136015904
29-Jul-2013,34.07,35.43,35.63,34.01,124863904
30-Jul-2013,35.65,37.63,37.96,35.32,173500144
31-Jul-2013,37.96,36.80,38.31,36.33,154811760
01-Aug-2013,37.30,37.49,38.29,36.92,106050648
02-Aug-2013,37.66,38.05,38.49,37.50,73043776
05-Aug-2013,38.43,39.19,39.32,38.25,79978344
06-Aug-2013,39.11,38.55,39.25,37.94,63936752
07-Aug-2013,38.61,38.87,38.94,37.70,68842352
08-Aug-2013,39.13,38.54,39.19,38.43,41278104
09-Aug-2013,38.59,38.50,38.74,38.01,43616392
12-Aug-2013,38.20,38.22,38.50,38.10,31146402
13-Aug-2013,38.24,37.02,38.32,36.77,65356440
14-Aug-2013,36.83,36.65,37.55,36.62,48411264
15-Aug-2013,36.36,36.56,37.07,36.02,56514284
16-Aug-2013,36.97,37.08,37.49,36.90,45827344
19-Aug-2013,37.43,37.81,38.28,37.14,57594596
20-Aug-2013,38.35,38.41,38.58,37.69,57977840
21-Aug-2013,38.38,38.32,38.85,38.15,46062176
22-Aug-2013,38.37,38.55,38.75,38.34,21921660
23-Aug-2013,39.00,40.55,40.63,38.93,86428160
26-Aug-2013,40.90,41.34,41.94,40.62,94139824
27-Aug-2013,40.68,39.64,41.20,39.42,72665464
28-Aug-2013,39.96,40.55,40.85,39.88,57883564
29-Aug-2013,40.89,41.28,41.78,40.80,58278376
30-Aug-2013,42.03,41.29,42.26,41.06,67711976
03-Sep-2013,41.84,41.87,42.17,41.51,48548496
04-Sep-2013,42.01,41.78,42.17,41.44,42293280
05-Sep-2013,41.79,42.66,42.76,41.77,49754232
06-Sep-2013,43.09,43.95,44.61,42.40,117130968
09-Sep-2013,44.36,44.04,44.79,43.70,75376896
10-Sep-2013,44.24,43.60,44.26,43.23,54319856
11-Sep-2013,43.39,45.04,45.09,43.11,71004072
12-Sep-2013,45.53,44.75,45.62,44.65,67652728
13-Sep-2013,45.04,44.31,45.08,43.93,52552536
16-Sep-2013,44.85,42.51,44.94,42.43,70316744
17-Sep-2013,42.50,45.07,45.44,42.43,91351792
18-Sep-2013,44.84,45.23,45.47,44.40,78952376
19-Sep-2013,45.51,45.98,46.05,45.23,62967616
20-Sep-2013,46.32,47.49,47.60,45.74,101107384
23-Sep-2013,47.28,47.19,47.55,46.29,75005312
24-Sep-2013,48.51,48.45,49.66,48.16,135832240
25-Sep-2013,49.23,49.46,49.54,48.46,87170736
26-Sep-2013,50.01,50.38,50.60,49.50,97284304
27-Sep-2013,50.29,51.24,51.28,49.86,80722320
30-Sep-2013,50.14,50.23,51.60,49.80,98624312
01-Oct-2013,49.97,50.42,51.03,49.45,97740696
02-Oct-2013,50.13,50.28,51.10,49.95,61942032
03-Oct-2013,50.47,49.18,50.72,49.06,78912088
04-Oct-2013,49.77,51.04,51.16,49.57,73894696
07-Oct-2013,50.73,50.51,51.29,50.40,56695344
08-Oct-2013,50.60,47.14,50.60,47.08,133682128
09-Oct-2013,47.38,46.77,47.84,45.26,146175456
10-Oct-2013,47.87,49.05,49.68,47.83,99001176
11-Oct-2013,49.18,49.11,49.87,48.79,57988776
14-Oct-2013,48.31,49.51,49.63,47.91,68299920
15-Oct-2013,49.99,49.50,51.00,49.18,80001168
16-Oct-2013,50.04,51.13,51.24,49.90,63946552
17-Oct-2013,51.12,52.21,52.22,50.95,69235168
18-Oct-2013,54.18,54.22,54.83,53.60,87645368
21-Oct-2013,54.68,53.85,54.81,53.51,57643668
22-Oct-2013,54.33,52.67,54.76,52.20,82779664
23-Oct-2013,51.75,51.90,52.25,51.13,56938232
24-Oct-2013,52.38,52.44,52.84,51.59,45714204
25-Oct-2013,53.18,51.95,53.24,51.88,44544828
28-Oct-2013,51.54,50.23,51.70,49.61,71500816
29-Oct-2013,50.73,49.40,50.79,49.25,100340288
30-Oct-2013,50.00,49.01,50.21,48.75,83205104
31-Oct-2013,47.15,50.21,52.00,46.50,246872944
01-Nov-2013,50.85,49.75,52.09,49.72,94186432
04-Nov-2013,49.37,48.22,49.75,48.02,79878896
05-Nov-2013,47.79,50.10,50.18,47.51,76353480
06-Nov-2013,50.26,49.12,50.45,48.71,67338320
07-Nov-2013,49.24,47.56,49.87,47.30,97106056
08-Nov-2013,47.81,47.53,48.65,47.25,70213728
11-Nov-2013,47.04,46.20,47.53,45.73,80277440
